epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,39.5771,0.74249,0.90689,1,0.24724,0.00041369,0.00041369,0.00041369
2,78.0297,0.35601,0.92032,1,0.23771,0.000802955,0.000802955,0.000802955
3,115.752,0.36065,0.82005,1,0.49076,0.00116472,0.00116472,0.00116472
4,155.179,0.34661,0.91674,1,0.21889,0.00112625,0.00112625,0.00112625
5,195.563,0.29364,0.93196,1,0.18591,0.001085,0.001085,0.001085
6,234.857,0.2254,0.9239,1,0.21696,0.00104375,0.00104375,0.00104375
7,273.688,0.25698,0.92838,1,0.18076,0.0010025,0.0010025,0.0010025
8,313.106,0.20227,0.93017,1,0.20989,0.00096125,0.00096125,0.00096125
9,353.068,0.18653,0.94808,1,0.15339,0.00092,0.00092,0.00092
10,393.162,0.15274,0.93644,1,0.2052,0.00087875,0.00087875,0.00087875
11,433.485,0.14833,0.92927,1,0.18862,0.0008375,0.0008375,0.0008375
12,473.731,0.14092,0.94181,1,0.18741,0.00079625,0.00079625,0.00079625
13,515.456,0.12083,0.95255,1,0.15322,0.000755,0.000755,0.000755
14,556.009,0.11918,0.94718,1,0.16426,0.00071375,0.00071375,0.00071375
15,595.225,0.09567,0.94897,1,0.13709,0.0006725,0.0006725,0.0006725
16,633.567,0.10288,0.95524,1,0.13636,0.00063125,0.00063125,0.00063125
17,671.437,0.07806,0.95971,1,0.12041,0.00059,0.00059,0.00059
18,709.207,0.0777,0.95345,1,0.13131,0.00054875,0.00054875,0.00054875
19,747.546,0.06571,0.9615,1,0.11317,0.0005075,0.0005075,0.0005075
20,786.519,0.05677,0.96509,1,0.1198,0.00046625,0.00046625,0.00046625
21,826.367,0.04929,0.95703,1,0.13551,0.000425,0.000425,0.000425
22,866.43,0.05314,0.96419,1,0.10868,0.00038375,0.00038375,0.00038375
23,906.525,0.04051,0.96777,1,0.11481,0.0003425,0.0003425,0.0003425
24,947.271,0.03667,0.9624,1,0.11911,0.00030125,0.00030125,0.00030125
25,991.615,0.04144,0.95882,1,0.12828,0.00026,0.00026,0.00026
26,1037.71,0.03625,0.96509,1,0.10714,0.00021875,0.00021875,0.00021875
27,1083.28,0.03766,0.97493,1,0.0908,0.0001775,0.0001775,0.0001775
28,1129.6,0.02899,0.97135,1,0.09683,0.00013625,0.00013625,0.00013625
29,1175.41,0.02658,0.97135,1,0.09672,9.5e-05,9.5e-05,9.5e-05
30,1220.69,0.02967,0.97314,1,0.09729,5.375e-05,5.375e-05,5.375e-05
